Tool;Scenario;Model;RunIndex;Iteration;PhaseName;MetricName;MetricValue
Reference;scale_samples;16;0;6;Update;Time;54500
Reference;scale_samples;16;0;6;Update;Memory;83755008
Reference;scale_samples;16;0;7;Update;Time;145600
Reference;scale_samples;16;0;7;Update;Memory;84541440
Reference;scale_samples;16;0;8;Update;Time;95200
Reference;scale_samples;16;0;8;Update;Memory;85196800
Reference;scale_samples;16;0;9;Update;Time;60900
Reference;scale_samples;16;0;9;Update;Memory;85852160
Reference;scale_samples;32;0;0;Initialization;Time;389610000
Reference;scale_samples;32;0;0;Initialization;Memory;76283904
Reference;scale_samples;32;0;0;Load;Time;40273000
Reference;scale_samples;32;0;0;Load;Memory;77070336
Reference;scale_samples;32;0;0;Initial;Time;73971200
Reference;scale_samples;32;0;0;Initial;Memory;80478208
Reference;scale_samples;32;0;1;Update;Time;9974800
Reference;scale_samples;32;0;1;Update;Memory;82706432
Reference;scale_samples;32;0;2;Update;Time;971900
Reference;scale_samples;32;0;2;Update;Memory;84148224
Reference;scale_samples;32;0;3;Update;Time;733700
Reference;scale_samples;32;0;3;Update;Memory;85458944
Reference;scale_samples;32;0;4;Update;Time;163600
Reference;scale_samples;32;0;4;Update;Memory;86769664
Reference;scale_samples;32;0;5;Update;Time;177600
Reference;scale_samples;32;0;5;Update;Memory;88211456
Reference;scale_samples;32;0;6;Update;Time;117500
Reference;scale_samples;32;0;6;Update;Memory;89522176
Reference;scale_samples;32;0;7;Update;Time;161000
Reference;scale_samples;32;0;7;Update;Memory;90963968
Reference;scale_samples;32;0;8;Update;Time;171000
Reference;scale_samples;32;0;8;Update;Memory;92274688
Reference;scale_samples;32;0;9;Update;Time;208400
Reference;scale_samples;32;0;9;Update;Memory;94765056
Reference;scale_samples;32;0;10;Update;Time;150500
Reference;scale_samples;32;0;10;Update;Memory;96206848
Reference;scale_assay;1;0;0;Initialization;Time;397078500
Reference;scale_assay;1;0;0;Initialization;Memory;76283904
Reference;scale_assay;1;0;0;Load;Time;58214600
Reference;scale_assay;1;0;0;Load;Memory;76939264
Reference;scale_assay;1;0;0;Initial;Time;68466300
Reference;scale_assay;1;0;0;Initial;Memory;78512128
Reference;scale_assay;1;0;1;Update;Time;10993100
Reference;scale_assay;1;0;1;Update;Memory;79691776
Reference;scale_assay;1;0;2;Update;Time;886100
Reference;scale_assay;1;0;2;Update;Memory;80216064
Reference;scale_assay;1;0;3;Update;Time;602100
Reference;scale_assay;1;0;3;Update;Memory;80871424
Reference;scale_assay;1;0;4;Update;Time;240000
Reference;scale_assay;1;0;4;Update;Memory;81395712
Reference;scale_assay;1;0;5;Update;Time;75800
Reference;scale_assay;1;0;5;Update;Memory;81920000
Reference;scale_assay;1;0;6;Update;Time;82200
Reference;scale_assay;1;0;6;Update;Memory;82444288
Reference;scale_assay;1;0;7;Update;Time;139800
Reference;scale_assay;1;0;7;Update;Memory;82968576
Reference;scale_assay;1;0;8;Update;Time;47500
Reference;scale_assay;1;0;8;Update;Memory;83492864
Reference;scale_assay;1;0;9;Update;Time;44700
Reference;scale_assay;1;0;9;Update;Memory;84017152
Reference;scale_assay;2;0;0;Initialization;Time;391499600
Reference;scale_assay;2;0;0;Initialization;Memory;76283904
Reference;scale_assay;2;0;0;Load;Time;52704300
Reference;scale_assay;2;0;0;Load;Memory;76939264
Reference;scale_assay;2;0;0;Initial;Time;72245300
Reference;scale_assay;2;0;0;Initial;Memory;79298560
Reference;scale_assay;2;0;1;Update;Time;11769400
Reference;scale_assay;2;0;1;Update;Memory;81002496
Reference;scale_assay;2;0;2;Update;Time;1013800
Reference;scale_assay;2;0;2;Update;Memory;82051072
Reference;scale_assay;2;0;3;Update;Time;765600
Reference;scale_assay;2;0;3;Update;Memory;83099648
Reference;scale_assay;2;0;4;Update;Time;282600
Reference;scale_assay;2;0;4;Update;Memory;84148224
Reference;scale_assay;2;0;5;Update;Time;100600
Reference;scale_assay;2;0;5;Update;Memory;85196800
Reference;scale_assay;2;0;6;Update;Time;84200
Reference;scale_assay;2;0;6;Update;Memory;86114304
Reference;scale_assay;2;0;7;Update;Time;188500
Reference;scale_assay;2;0;7;Update;Memory;87162880
Reference;scale_assay;2;0;8;Update;Time;72600
Reference;scale_assay;2;0;8;Update;Memory;88211456
Reference;scale_assay;2;0;9;Update;Time;279800
Reference;scale_assay;2;0;9;Update;Memory;89260032
Reference;scale_assay;2;0;10;Update;Time;97400
Reference;scale_assay;2;0;10;Update;Memory;90308608
Reference;scale_assay;2;0;11;Update;Time;114500
Reference;scale_assay;2;0;11;Update;Memory;91881472
Reference;scale_assay;2;0;12;Update;Time;430700
Reference;scale_assay;2;0;12;Update;Memory;93454336
Reference;scale_assay;2;0;13;Update;Time;76600
Reference;scale_assay;2;0;13;Update;Memory;94633984
Reference;scale_assay;2;0;14;Update;Time;105300
Reference;scale_assay;2;0;14;Update;Memory;95813632
Reference;scale_assay;2;0;15;Update;Time;362300
Reference;scale_assay;2;0;15;Update;Memory;97124352
Reference;scale_assay;2;0;16;Update;Time;95600
Reference;scale_assay;2;0;16;Update;Memory;98304000
Reference;scale_assay;2;0;17;Update;Time;105100
Reference;scale_assay;2;0;17;Update;Memory;100139008
Reference;scale_assay;4;0;0;Initialization;Time;401816000
Reference;scale_assay;4;0;0;Initialization;Memory;76414976
Reference;scale_assay;4;0;0;Load;Time;54254800
Reference;scale_assay;4;0;0;Load;Memory;77201408
Reference;scale_assay;4;0;0;Initial;Time;81381500
Reference;scale_assay;4;0;0;Initial;Memory;81133568
Reference;scale_assay;4;0;1;Update;Time;11605000
Reference;scale_assay;4;0;1;Update;Memory;84017152
Reference;scale_assay;4;0;2;Update;Time;796300
Reference;scale_assay;4;0;2;Update;Memory;85983232
Reference;scale_assay;4;0;3;Update;Time;624900
Reference;scale_assay;4;0;3;Update;Memory;87818240
Reference;scale_assay;4;0;4;Update;Time;172200
Reference;scale_assay;4;0;4;Update;Memory;89915392
Reference;scale_assay;4;0;5;Update;Time;176800
Reference;scale_assay;4;0;5;Update;Memory;91881472
Reference;scale_assay;4;0;6;Update;Time;120600
Reference;scale_assay;4;0;6;Update;Memory;93716480
Reference;scale_assay;4;0;7;Update;Time;310200
Reference;scale_assay;4;0;7;Update;Memory;95813632
Reference;scale_assay;4;0;8;Update;Time;82000
Reference;scale_assay;4;0;8;Update;Memory;97648640
Reference;scale_assay;4;0;9;Update;Time;313100
Reference;scale_assay;4;0;9;Update;Memory;99745792
Reference;scale_assay;4;0;10;Update;Time;158600
Reference;scale_assay;4;0;10;Update;Memory;102105088
Reference;scale_assay;4;0;11;Update;Time;632300
Reference;scale_assay;4;0;11;Update;Memory;105119744
Reference;scale_assay;4;0;12;Update;Time;401000
Reference;scale_assay;4;0;12;Update;Memory;107085824
Reference;scale_assay;4;0;13;Update;Time;121100
Reference;scale_assay;4;0;13;Update;Memory;109314048
Reference;scale_assay;4;0;14;Update;Time;103600
Reference;scale_assay;4;0;14;Update;Memory;112197632
Reference;scale_assay;4;0;15;Update;Time;349000
Reference;scale_assay;4;0;15;Update;Memory;114163712
Reference;scale_assay;4;0;16;Update;Time;128400
Reference;scale_assay;4;0;16;Update;Memory;115998720
Reference;scale_assay;4;0;17;Update;Time;308700
Reference;scale_assay;4;0;17;Update;Memory;117964800
Reference;scale_assay;4;0;18;Update;Time;162000
Reference;scale_assay;4;0;18;Update;Memory;119799808
Reference;scale_assay;4;0;19;Update;Time;136800
Reference;scale_assay;4;0;19;Update;Memory;122290176
Reference;scale_assay;4;0;20;Update;Time;582300
Reference;scale_assay;4;0;20;Update;Memory;124256256
Reference;scale_assay;8;0;0;Initialization;Time;358794500
Reference;scale_assay;8;0;0;Initialization;Memory;76021760
Reference;scale_assay;8;0;0;Load;Time;54477900
Reference;scale_assay;8;0;0;Load;Memory;76939264
Reference;scale_assay;8;0;0;Initial;Time;87164800
Reference;scale_assay;8;0;0;Initial;Memory;84017152
Reference;scale_assay;8;0;1;Update;Time;11279200
Reference;scale_assay;8;0;1;Update;Memory;89128960
Reference;scale_assay;8;0;2;Update;Time;860900
Reference;scale_assay;8;0;2;Update;Memory;93061120
Reference;scale_assay;8;0;3;Update;Time;731600
Reference;scale_assay;8;0;3;Update;Memory;97124352
Reference;scale_assay;8;0;4;Update;Time;1606000
Reference;scale_assay;8;0;4;Update;Memory;102760448
Reference;scale_assay;8;0;5;Update;Time;243800
Reference;scale_assay;8;0;5;Update;Memory;108003328
Reference;scale_assay;8;0;6;Update;Time;259800
Reference;scale_assay;8;0;6;Update;Memory;112328704
Reference;scale_assay;8;0;7;Update;Time;1380600
Reference;scale_assay;8;0;7;Update;Memory;116391936
Reference;scale_assay;8;0;8;Update;Time;158800
Reference;scale_assay;8;0;8;Update;Memory;120193024
Reference;scale_assay;8;0;9;Update;Time;919500
Reference;scale_assay;8;0;9;Update;Memory;124125184
Reference;scale_assay;8;0;10;Update;Time;547500
Reference;scale_assay;8;0;10;Update;Memory;128319488
Reference;scale_assay;8;0;11;Update;Time;198100
Reference;scale_assay;8;0;11;Update;Memory;132251648
Reference;scale_assay;8;0;12;Update;Time;601600
Reference;scale_assay;8;0;12;Update;Memory;136052736
Reference;scale_assay;8;0;13;Update;Time;161800
Reference;scale_assay;8;0;13;Update;Memory;139722752
Reference;scale_assay;8;0;14;Update;Time;201100
Reference;scale_assay;8;0;14;Update;Memory;143523840
Reference;scale_assay;8;0;15;Update;Time;459900
Reference;scale_assay;8;0;15;Update;Memory;147324928
Reference;scale_assay;8;0;16;Update;Time;143800
Reference;scale_assay;8;0;16;Update;Memory;150994944
Reference;scale_assay;8;0;17;Update;Time;422300
Reference;scale_assay;8;0;17;Update;Memory;155889664
Reference;scale_assay;8;0;18;Update;Time;98500
Reference;scale_assay;8;0;18;Update;Memory;156020736
Reference;scale_assay;8;0;19;Update;Time;396900
Reference;scale_assay;8;0;19;Update;Memory;156151808
Reference;scale_assay;8;0;20;Update;Time;351000
Reference;scale_assay;8;0;20;Update;Memory;156282880
Reference;scale_assay;16;0;0;Initialization;Time;382751300
Reference;scale_assay;16;0;0;Initialization;Memory;76283904
Reference;scale_assay;16;0;0;Load;Time;51806300
Reference;scale_assay;16;0;0;Load;Memory;77725696
Reference;scale_assay;16;0;0;Initial;Time;113019600
Reference;scale_assay;16;0;0;Initial;Memory;91095040
Reference;scale_assay;16;0;1;Update;Time;12293500
Reference;scale_assay;16;0;1;Update;Memory;100270080
Reference;scale_assay;16;0;2;Update;Time;1023300
Reference;scale_assay;16;0;2;Update;Memory;108134400
Reference;scale_assay;16;0;3;Update;Time;875100
Reference;scale_assay;16;0;3;Update;Memory;116129792
Reference;scale_assay;16;0;4;Update;Time;1535800
Reference;scale_assay;16;0;4;Update;Memory;127664128
Reference;scale_assay;16;0;5;Update;Time;699600
Reference;scale_assay;16;0;5;Update;Memory;135790592
Reference;scale_assay;16;0;6;Update;Time;200800
Reference;scale_assay;16;0;6;Update;Memory;147456000
Reference;scale_assay;16;0;7;Update;Time;583000
Reference;scale_assay;16;0;7;Update;Memory;147587072
Reference;scale_assay;16;0;8;Update;Time;325600
Reference;scale_assay;16;0;8;Update;Memory;147718144
Reference;scale_assay;16;0;9;Update;Time;335900
Reference;scale_assay;16;0;9;Update;Memory;148897792
Reference;scale_assay;16;0;10;Update;Time;259500
Reference;scale_assay;16;0;10;Update;Memory;149028864
Reference;scale_assay;16;0;11;Update;Time;383800
Reference;scale_assay;16;0;11;Update;Memory;149291008
Reference;scale_assay;16;0;12;Update;Time;583200
Reference;scale_assay;16;0;12;Update;Memory;149291008
Reference;scale_assay;16;0;13;Update;Time;147800
